Source,File_Name,Loudness_LUFS
data3_audio,HC_U2_0138.wav,-30.839014522228922
data3_audio,HC_U2_0132.wav,-14.562878470072494
data3_audio,HC_U2_0141.wav,-19.460199346294498
data3_audio,PD_A1_0009.wav,-31.721582999775197
data3_audio,PD_A1_0021.wav,-50.62806994166758
data3_audio,PD_A1_0004.wav,-32.18644794173145
data3_audio,PD_A1_0016.wav,-28.296181065918322
data3_audio,PD_A1_0031.wav,-38.26204441105324
data3_audio,PD_A2_0009.wav,-28.703435906459877
data3_audio,PD_A2_0016.wav,-23.968554732788316
data3_audio,PD_A2_0004.wav,-33.347616766991486
data3_audio,PD_A2_0013.wav,-32.31126218082042
data3_audio,PD_A1_0109.wav,-35.02225915738454
data3_audio,PD_A1_0058.wav,-22.448437509334514
data3_audio,PD_A2_0040.wav,-32.33872961424433
data3_audio,PD_A3_0007.wav,-26.451192102110898
data3_audio,PD_A3_0009.wav,-30.26470903797458
data3_audio,PD_A2_0109.wav,-35.095927014733064
data3_audio,PD_A2_0115.wav,-30.514771581340142
data3_audio,PD_A2_0117.wav,-37.946407257814684
data3_audio,PD_A3_0016.wav,-25.77202952268785
data3_audio,PD_A3_0033.wav,-31.405083854925635
data3_audio,PD_A3_0109.wav,-32.70602080390932
data3_audio,PD_E1_0004.wav,-30.10718708913978
data3_audio,PD_E1_0021.wav,-35.80650378202583
data3_audio,PD_E1_0109.wav,-33.39037947645155
data3_audio,PD_E3_0007.wav,-9.701947170072573
data3_audio,PD_E2_0117.wav,-37.78791614310134
data3_audio,PD_E3_0016.wav,-28.39749107869015
data3_audio,PD_E2_0109.wav,-32.33582329860345
data3_audio,PD_E3_0021.wav,-33.565643542129536
data3_audio,PD_I1_0007.wav,-29.187250947015368
data3_audio,PD_I2_0004.wav,-31.45075196134599
data3_audio,PD_I2_0007.wav,-29.555940008222354
data3_audio,PD_I1_0117.wav,-35.806756229496244
data3_audio,PD_I3_0009.wav,-29.422829474838256
data3_audio,PD_I2_0109.wav,-34.15433133371714
