File_Name,Loudness_LUFS
HC_PATAKA_0064.wav,-34.25832182385567
HC_PATAKA_0063.wav,-32.46897900005043
HC_PATAKA_0074.wav,-26.625131953765077
HC_PATAKA_0071.wav,-35.37344685763944
HC_PATAKA_0053.wav,-36.91496348493232
PD_PATAKA_0006.wav,-30.756670437051103
PD_PATAKA_0012.wav,-40.190361782678686
PD_PATAKA_0029.wav,-34.675118695663485
PD_PATAKA_0025.wav,-41.06950086010195
PD_PATAKA_0035.wav,-35.57654966933449
PD_PATAKA_0037.wav,-35.78645604788092
HC_PATAKA_0116.wav,-40.020242089969216
HC_PATAKA_0105.wav,-35.98050229885293
HC_PATAKA_0086.wav,-37.95702371512029
HC_PATAKA_0131.wav,-22.67069265546204
HC_PATAKA_0122.wav,-34.18416179246622
HC_PATAKA_0129.wav,-33.73519237164679
PD_PATAKA_0039.wav,-27.84726369490113
PD_PATAKA_0010.wav,-31.877379140012376
PD_PATAKA_0014.wav,-45.674098551519805
PD_PATAKA_0031.wav,-35.750344196126036
PD_PATAKA_0021.wav,-41.8520869038799
PD_PATAKA_0009.wav,-32.50336745956549
PD_PATAKA_0032.wav,-33.29975477569337
PD_PATAKA_0015.wav,-36.037290464347286
PD_PATAKA_0040.wav,-35.833788220819144
PD_PATAKA_0066.wav,-33.30996732205379
PD_PATAKA_0115.wav,-27.293809713751088
PD_PATAKA_0070.wav,-37.14009467988724
HC_PATAKA_0051.wav,-27.425925642216306
HC_PATAKA_0036.wav,-35.74513223550023
HC_PATAKA_0052.wav,-37.07919206757981
HC_PATAKA_0048.wav,-36.11335355650178
HC_PATAKA_0055.wav,-35.93440071683622
HC_PATAKA_0054.wav,-38.0237666284795
HC_PATAKA_0073.wav,-32.88285876637788
HC_PATAKA_0065.wav,-39.28748177513398
HC_PATAKA_0056.wav,-36.43560444473377
HC_PATAKA_0072.wav,-28.907463332485232
HC_PATAKA_0061.wav,-31.37222274904214
HC_PATAKA_0082.wav,-24.558003155751887
HC_PATAKA_0141.wav,-27.856915782484766
HC_PATAKA_0140.wav,-40.26819144839662
HC_PATAKA_0121.wav,-44.22128050739908
HC_PATAKA_0118.wav,-34.76582443249403
HC_PATAKA_0085.wav,-32.7381191050283
HC_PATAKA_0138.wav,-38.24535112513635
PD_PATAKA_0077.wav,-33.748346779488294
PD_PATAKA_0023.wav,-34.92920830296891
PD_PATAKA_0046.wav,-25.300686759091505
PD_PATAKA_0047.wav,-30.353136894611136
PD_PATAKA_0024.wav,-45.19388428720256
PD_PATAKA_0030.wav,-45.28546109393065
PD_PATAKA_0019.wav,-38.46906605602698
PD_PATAKA_0020.wav,-49.2744038539366
PD_PATAKA_0026.wav,-33.61938664441425
PD_PATAKA_0007.wav,-33.30215915415012
PD_PATAKA_0008.wav,-31.945999108681043
HC_PATAKA_0145.wav,-35.12162681348556
HC_PATAKA_0076.wav,-31.72140818358028
HC_PATAKA_0144.wav,-44.514648728388664
HC_PATAKA_0081.wav,-32.32794346179603
PD_PATAKA_0013.wav,-36.39813107501082
PD_PATAKA_0011.wav,-34.88662170783492
PD_PATAKA_0017.wav,-33.89051181393932
PD_PATAKA_0028.wav,-44.27036163062735
PD_PATAKA_0067.wav,-35.69099225612536
PD_PATAKA_0043.wav,-34.940730585649256
PD_PATAKA_0041.wav,-26.417014846712636
PD_PATAKA_0109.wav,-40.386572027145846
PD_PATAKA_0078.wav,-46.30669902872252
PD_PATAKA_0117.wav,-41.239166236305785
PD_PATAKA_0113.wav,-40.519869131981665
HC_PATAKA_0060.wav,-29.002830360717347
HC_PATAKA_0133.wav,-40.48192687607903
HC_PATAKA_0135.wav,-42.77984454739419
HC_PATAKA_0112.wav,-46.27650403202461
HC_PATAKA_0132.wav,-37.91928550163508
PD_PATAKA_0044.wav,-32.091307252562686
PD_PATAKA_0042.wav,-33.27692383604992
PD_PATAKA_0016.wav,-39.99080188654519
PD_PATAKA_0022.wav,-31.03180201590422
HC_PATAKA_0062.wav,-36.988372707037115
HC_PATAKA_0134.wav,-32.2749061441422
HC_PATAKA_0142.wav,-27.02366746241133
HC_PATAKA_0120.wav,-40.69156753585139
HC_PATAKA_0075.wav,-33.15177359285717
HC_PATAKA_0130.wav,-26.060051485340196
HC_PATAKA_0143.wav,-33.93258785967204
PD_PATAKA_0038.wav,-32.50819374301877
PD_PATAKA_0111.wav,-38.58733383120771
HC_PATAKA_0034.wav,-37.661544403434085
PD_PATAKA_0033.wav,-34.34155547568553
PD_PATAKA_0027.wav,-37.38298801088633
HC_PATAKA_0049.wav,-37.47247676179015
HC_PATAKA_0137.wav,-39.55576263476966
PD_PATAKA_0018.wav,-37.89636086125767
HC_PATAKA_0136.wav,-37.85445312755785
HC_PATAKA_0128.wav,-31.783655818828134
PD_PATAKA_0069.wav,-32.26745534488889
PD_PATAKA_0068.wav,-33.2420926932942
